D;SECTION D TEXTILESPAPER
D01F0009220000;from polyacrylonitriles
D01F0009240000;from macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds
D01F0009260000;from polyesters
D01F0009280000;from polyamides
D01F0009300000;from aromatic polyamides
D01F0009320000;Apparatus therefor
D01F0011000000;Chemical after-treatment of man-made filaments or the like during manufacture (finishing D06M)
D01F0011020000;of cellulose, cellulose derivatives, or proteins
D01F0011040000;of synthetic polymers
D01F0011060000;of macromolecular compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds
D01F0011080000;of macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds
D01F0011100000;of carbon
D01F0011120000;with inorganic substances
D01F0011140000;with organic compounds, e.g. macromolecular compounds
D01F0011160000;by physicochemical methods
D01F0013000000;Recovery of starting material, waste material or solvents during the manufacture of man-made filaments or the like
D01F0013020000;of cellulose, cellulose derivatives, or proteins
D01F0013040000;of synthetic polymers
D01G;PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING (winding or unwinding, conducting or guiding laps, webs, slivers, or rovings in general, sliver or roving cans, depositing in sliver or roving cans B65H. preparation of fibres for paper-making D21)
D01G0001000000;Severing continuous filaments or long fibres, e.g. stapling (drafting arrangements, twisting arrangements D01H)
D01G0001020000;to form staple fibres not delivered in strand form
D01G0001040000;by cutting
D01G0001060000;Converting tows to slivers or yarns, e.g. in direct spinning
D01G0001080000;by stretching or abrading
D01G0001100000;by cutting
D01G0003000000;Roughening of fibres
D01G0005000000;Separating, e.g. sorting, fibres (separating fibres of differing lengths in silk-dressing machines D01G0017000000. in combing machines D01G0019000000)
D01G0007000000;Breaking or opening fibre bales
D01G0007020000;by means of beater arms
D01G0007040000;by means of toothed members
D01G0007060000;Details of apparatus or machines
D01G0007080000;Arrangements for feeding bales to comminuting elements
D01G0007100000;Arrangements for discharging fibres
D01G0007120000;Framework. Casings. Coverings. Grids
D01G0007140000;Driving arrangements
D01G0009000000;Opening or cleaning fibres, e.g. scutching cotton (scutching flax or like fibres D01B. making cellulose wadding in paper-making machines D21F0011140000)
D01G0009020000;by agitation within a moving receptacle
D01G0009040000;by means of beater arms
D01G0009060000;by means of toothed members
D01G0009080000;by means of air draught arrangements
D01G0009100000;using foraminous cylinders (foraminous suction cylinders for lap-forming D01G0025000000)
D01G0009120000;Combinations of opening or cleaning machines
D01G0009140000;Details of machines or apparatus
D01G0009160000;Feeding arrangements (fibre-feeding apparatus of general application in fibre-treating machines D01G0023000000)
D01G0009180000;Arrangements for discharging fibres
D01G0009200000;Framework. Casings. Coverings. Grids
D01G0009220000;Driving arrangements
D01G0011000000;Disintegrating fibre-containing articles to obtain fibres for re-use
D01G0011020000;Opening, unravelling, or teasing ropes or like fibrous strands to obtain fibres for re-use
D01G0011040000;Opening rags to obtain fibres for re-use (mechanical treatment of rags for paper-making D21B)
